CMDLINE C:\Users\Usuario\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe julia_set_memory_profiling.py
MEM 134.957031 1712632771.2207
MEM 134.957031 1712632771.3208
MEM 134.957031 1712632771.4215
MEM 134.957031 1712632771.5217
MEM 134.957031 1712632771.6219
MEM 134.957031 1712632771.7222
MEM 134.957031 1712632771.8228
MEM 134.957031 1712632771.9231
MEM 134.957031 1712632772.0234
MEM 134.957031 1712632772.1240
MEM 134.957031 1712632772.2244
MEM 134.957031 1712632772.3246
MEM 134.957031 1712632772.4251
MEM 134.925781 1712632772.5256
MEM 134.925781 1712632772.6261
MEM 134.925781 1712632772.7263
MEM 134.925781 1712632772.8269
MEM 134.925781 1712632772.9274
MEM 134.925781 1712632773.0279
MEM 134.925781 1712632773.1282
MEM 134.925781 1712632773.2287
MEM 134.925781 1712632773.3292
MEM 134.925781 1712632773.4294
MEM 134.925781 1712632773.5300
MEM 134.925781 1712632773.6307
MEM 134.925781 1712632773.7312
MEM 134.925781 1712632773.8314
MEM 134.925781 1712632773.9318
MEM 134.925781 1712632774.0320
MEM 134.925781 1712632774.1327
MEM 134.925781 1712632774.2333
MEM 134.925781 1712632774.3341
MEM 134.925781 1712632774.4343
MEM 134.925781 1712632774.5348
MEM 134.925781 1712632774.6350
MEM 134.925781 1712632774.7353
MEM 134.925781 1712632774.8357
MEM 134.925781 1712632774.9360
MEM 134.925781 1712632775.0366
MEM 134.925781 1712632775.1368
MEM 134.925781 1712632775.2371
MEM 134.925781 1712632775.3376
MEM 134.925781 1712632775.4380
MEM 134.925781 1712632775.5386
MEM 134.925781 1712632775.6390
MEM 134.925781 1712632775.7395
MEM 134.925781 1712632775.8400
MEM 134.925781 1712632775.9405
MEM 134.925781 1712632776.0407
MEM 134.925781 1712632776.1409
MEM 134.925781 1712632776.2411
MEM 134.925781 1712632776.3416
MEM 134.925781 1712632776.4419
MEM 134.925781 1712632776.5425
MEM 134.925781 1712632776.6430
MEM 134.925781 1712632776.7434
MEM 134.925781 1712632776.8436
MEM 134.925781 1712632776.9440
MEM 134.925781 1712632777.0444
MEM 134.925781 1712632777.1447
MEM 134.925781 1712632777.2449
